"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"Trim15_1",3,2.5,1.75,1.5,2.25,1.5,2,0.5
"Trim10_1",0,0,0,0.25,0,0.25,0.25,0
"Trim40_1",0,0,0.25,0,0,0,0,0.75
"Trim31_1",0,0,0,0,0,0,0.25,0.25
"Rnf39_1",0.75,1.25,1.25,1,0.5,1,0.5,0.25
"Ppp1r11_1",284.87,125.72,215.04,167.87,186.67,203.72,201.11,199.78
"Znrd1_1",164.95,89.65,118.67,105.57,113.27,126.65,112.92,115.12
"Znrd1as_1",16.38,6.85,11.85,14,20.75,18.82,14.75,13.45
"2410137M14Rik_1",0,0,0,0,0,0,0,0
"H2-M5_1",0.25,0,0.25,0.38,0.38,0,0.5,0.29
"Zfp57_1",0.5,1.25,0,0,0,0,0,0
"Mog_1",0,0,0,0,0,0,0,0
"Gabbr1_1",575.85,523.58,434.71,681.83,579.45,515.15,523.5,379.96
"Olfr90_1",0,0,0,0,0,0,0,0
"Olfr91_1",0,0,0,0,0,0,0,0
"Olfr92_1",0,0,0,0,0,0,0,0
"Olfr93_1",0,0,0,0,0,0,0,0
"Ubd_1",12.45,11.75,0,0,0,0.25,0,0.25
"Olfr94_1",0,0,0,0,0,0,0,0
"Olfr96_1",0,0,0,0,0,0,0,0
"Olfr97_1",0.11,0,0,0,0.1,0.1,0,0
"Olfr98_1",0.11,0,0.57,0.82,0.22,0.21,0.32,0.6
"H2-M3_1",177.31,103.44,147.09,137.9,129.9,116.95,136.68,150.68
"Olfr99_1",36.36,32,23.82,44.57,30.38,20.61,37.57,26.85
"Olfr100",1,0,1,0,0,0,0.5,1
"Olfr101_1",0,0,0,0,0,0,0,1
"Olfr102_1",0,0,0,0,0,0,0.5,0
"Olfr103_1",0,0,0,0,0,0,0,0
"Olfr107_1",0,0,0,0.1,0,0.11,0,0.1
"Olfr108_1",0,0,0,0,0,0,0,0
"Olfr121_1",0,0,0,0,0,0,0,0
"Olfr122_1",0,0,0,0,0,0,0,0
"Olfr123_1",0,0,0,0,0,0,0,0
