"","CD4Tfh_1","CD4Tfh_2","CD8Tfc_1","CD8Tfc_2"
"Epha4",1.7,0.53,1.05,1.55
"Pax3",0,0,0,0
"Gm2102",0,0,0,0
"Sgpp2",108,157.5,55,89
"Farsb",1012,714.5,665.95,584.5
"Mogat1",2.5,1.5,1.75,2.5
"Acsl3",329.75,324.25,138.5,116.25
"Utp14b",0,0,0,0
"Kcne4",0,0,0,0
"Scg2",3,3,0,5
"Ap1s3",883.83,911.87,588.92,580.42
"Wdfy1",942.67,1178,529,729.33
"Mrpl44",426,414,336,247
"Serpine2",16,9.11,13,4
"Fam124b",96,107,43,66
"Cul3",5313,6113.29,5545.25,5080
"Dock10",6218.45,8654.6,8311.43,9404
"Nyap2",0,0.83,0,3
"Irs1",5,8,6,0
"Rhbdd1",811.89,836.55,615.49,696.66
"Col4a4",13.75,15.93,11.25,12.7
"Col4a3",1,1,0,0
"Mff",2725,2268,1470,1746
"Tm4sf20",9,9,6,10
"Agfg1",8424.75,9042.83,6514,7933.5
"Slc19a3",3.33,4,0.5,1
"Krtap28-13",0,0,0,0
"Ccl20",0,0,0,0
"Daw1",8,16.61,25,4.33
"Sphkap",45.12,48.75,40.6,28
"Pid1",5.1,2.93,9.57,1.44
"Dner",10.01,4.52,7.06,2.63
"Trip12",9845.25,12149.75,8552.75,10650.85
"Fbxo36",12.49,14.01,9.2,23.74
"Slc16a14",2,0,3,0
"Gm15433",31.33,41.82,26.67,35.65
"A530032D15Rik",51.3,75.8,60.03,80.09
"Gm35498",203.26,234,182.09,231.51
"Gm38510",56.38,94.29,63.61,103.33
"LOC102638435",0,0,0,0
"Gm7609",0,0,0,0
"C130026I21Rik",0,0,0,0
"LOC108167347",40.28,45.49,44.93,69.15
"LOC101055758",190.97,263.61,222,266.03
"Gm2666",0,0,0,0
"Gm2427",0,0,0,0
"Sp110",2877.38,4256.97,3791.18,4355.85
"Sp140",934.38,1215.41,1052.17,1101.63
"Sp100",10479.26,15897.17,15464.1,18806.49
"A630001G21Rik",3252,4872,3630,4473
"Cab39",9072,8405,5994.5,6714.12
"Itm2c",4745,5043,2434,3011
"Gpr55",115,126,260,239
"Spata3",0,0,0,2
"2810459M11Rik",6,9.33,6,4.33
"Psmd1",3175,3170,2596,2357.25
"Htr2b",0,0,0,0
"Armc9",143,183,116,133
"B3gnt7",0,0,6,0
"Ncl",23541.17,21605.17,20778.17,18426.83
"Nmur1",0,1,2,1
"1700019O17Rik",0,0,0,0
